country,region,population,article_title,revision_id,article_quality
Algeria,NORTHERN AFRICA,468000.0,Abdelkader Zoukh,1250270534,Start
Algeria,NORTHERN AFRICA,468000.0,Chaâbane Aït Abderrahim,1234096174,Start
Algeria,NORTHERN AFRICA,468000.0,Ali Aoun,1214835889,Start
Algeria,NORTHERN AFRICA,468000.0,Basma Azouar,1192088820,Stub
Algeria,NORTHERN AFRICA,468000.0,Mohamed Seghir Babes,1226280389,Stub
Algeria,NORTHERN AFRICA,468000.0,Noureddine Bahbouh,1099284595,Stub
Algeria,NORTHERN AFRICA,468000.0,Lamine Bechichi,1111537825,Stub
Algeria,NORTHERN AFRICA,468000.0,Aïssa Bekkai,1219685755,Stub
Algeria,NORTHERN AFRICA,468000.0,Abdelhakim Belabed,1218173615,Start
Algeria,NORTHERN AFRICA,468000.0,Mohamed Tarek Belaribi,1241671793,Start
Algeria,NORTHERN AFRICA,468000.0,Kamel Beldjoud,1214832676,Stub
Algeria,NORTHERN AFRICA,468000.0,Aboubakr Belkaid,1176411375,Start
Algeria,NORTHERN AFRICA,468000.0,Youcef Belmehdi,1239235131,Stub
Algeria,NORTHERN AFRICA,468000.0,Mohamed Cherif Belmihoub,1226553342,Start
Algeria,NORTHERN AFRICA,468000.0,Mohamed Belouizdad,1169278443,Start
Algeria,NORTHERN AFRICA,468000.0,Benaouda Hadj Hacène Bachterzi,1237478919,Stub
Algeria,NORTHERN AFRICA,468000.0,Souad Bendjaballah,1134649751,Stub
Algeria,NORTHERN AFRICA,468000.0,Abdelkrim Benmbarek,1245801726,Stub
Algeria,NORTHERN AFRICA,468000.0,Mohamed Bensalam,1235672021,Stub
Algeria,NORTHERN AFRICA,468000.0,Fayçal Bentaleb,1217131488,Stub
Algeria,NORTHERN AFRICA,468000.0,Ahmed Bidani,1212186965,Start
Algeria,NORTHERN AFRICA,468000.0,Kamel Bidari,1249963763,GA
Algeria,NORTHERN AFRICA,468000.0,Rachid Bladehane,1186319378,Stub
Algeria,NORTHERN AFRICA,468000.0,Saïd Boualam,1240883461,Start
Algeria,NORTHERN AFRICA,468000.0,Rabah Bouaziz,1232492563,Start
Algeria,NORTHERN AFRICA,468000.0,Abdeslam Bouchouareb,1203569345,Stub
Algeria,NORTHERN AFRICA,468000.0,Ibrahim Boughali,1230623499,Stub
Algeria,NORTHERN AFRICA,468000.0,Yahia Boukhari,1186319308,Stub
Algeria,NORTHERN AFRICA,468000.0,Mohamed Bouslimani,1224118485,Stub
Algeria,NORTHERN AFRICA,468000.0,Foued Chehat,1242037866,Stub
Algeria,NORTHERN AFRICA,468000.0,Hamza Al Sid Cheikh,1248318178,Stub
Algeria,NORTHERN AFRICA,468000.0,Hocine Cherhabil,1242619010,Stub
Algeria,NORTHERN AFRICA,468000.0,Abderrahmane Meziane Chérif,1220757834,Start
Algeria,NORTHERN AFRICA,468000.0,Saïd Chibane,1230435685,Stub
Algeria,NORTHERN AFRICA,468000.0,Brahim Chibout,1053460621,Stub
Algeria,NORTHERN AFRICA,468000.0,Youcef Chorfa,1214834266,Start
Algeria,NORTHERN AFRICA,468000.0,Fazia Dahleb,1244337610,Stub
Algeria,NORTHERN AFRICA,468000.0,Taha Derbal,1213344636,Stub
Algeria,NORTHERN AFRICA,468000.0,Nassim Diafat,1213342432,Stub
Algeria,NORTHERN AFRICA,468000.0,Mokhtar Didouche,1227200392,Start
Algeria,NORTHERN AFRICA,468000.0,Bouras Djamel,1226437538,Stub
Algeria,NORTHERN AFRICA,468000.0,Fatiha Serour,1218302579,Start
Algeria,NORTHERN AFRICA,468000.0,Ahmed Hamiani,1226452639,Stub
Algeria,NORTHERN AFRICA,468000.0,Nadir Kassab,1226271746,Stub
Algeria,NORTHERN AFRICA,468000.0,Brahim Djamel Kassali,1172500304,Start
Algeria,NORTHERN AFRICA,468000.0,Kaoutar Krikou,1213795388,Stub
Algeria,NORTHERN AFRICA,468000.0,Sassi Lamouri,1181986973,Stub
Algeria,NORTHERN AFRICA,468000.0,Mohamed Maghlaoui,1053469610,Stub
Algeria,NORTHERN AFRICA,468000.0,Amar Makhloufi,1235394946,Stub
